"Category..categorical.","Category","App","Installs"
"ART_AND_DESIGN",0,64,114338100
"AUTO_AND_VEHICLES",1,85,53130211
"BEAUTY",2,53,27197050
"BOOKS_AND_REFERENCE",3,222,1665969576
"BUSINESS",4,420,697164865
"COMICS",5,56,44981150
"COMMUNICATION",6,315,11038276251
"DATING",7,171,140926107
"EDUCATION",8,119,352952000
"ENTERTAINMENT",9,102,2113660000
"EVENTS",10,64,15973161
"FAMILY",11,1832,4427941505
"FINANCE",12,345,455348734
"FOOD_AND_DRINK",13,112,211798751
"GAME",14,959,13878924415
"HEALTH_AND_FITNESS",15,288,1144022512
"HOUSE_AND_HOME",16,74,97212461
"LIBRARIES_AND_DEMO",17,84,52995910
"LIFESTYLE",18,369,503823539
"MAPS_AND_NAVIGATION",19,131,503281890
"MEDICAL",20,395,38193177
"NEWS_AND_MAGAZINES",21,254,2369217760
"PARENTING",22,60,31521110
"PERSONALIZATION",23,376,1532494782
"PHOTOGRAPHY",24,281,4649147655
"PRODUCTIVITY",25,374,5793091369
"SHOPPING",26,202,1400348785
"SOCIAL",27,239,5487867902
"SPORTS",28,325,1096474498
"TOOLS",29,827,8001771915
"TRAVEL_AND_LOCAL",30,219,2894887146
"VIDEO_PLAYERS",31,163,3926902720
"WEATHER",32,79,361100520
