"Category..categorical.","Category","App","sentiment_polarity_score","ease_of_reading_score","sentiment_subjectivity_score","spelling_quality_score","Installs"
"ART_AND_DESIGN",0,10,0.251088351279017,0.860269380852764,0.548810702428603,0.88328904792067,22400000
"AUTO_AND_VEHICLES",1,8,0.270666865406248,0.850619522051174,0.522983948078109,0.903461379271939,12500000
"BEAUTY",2,6,0.221777068764716,0.868565526986272,0.490752876199609,0.867997353711024,12200000
"BOOKS_AND_REFERENCE",3,16,0.263242636209945,0.851116342676461,0.464572309093787,0.890961370460889,260600000
"BUSINESS",4,20,0.223649164949742,0.847067545060198,0.46267039717433,0.884722251850415,165800000
"COMICS",5,2,0.396459518655947,0.862088527180251,0.50629582124225,0.816202465001078,1010000
"COMMUNICATION",6,32,0.189157636887322,0.8500112955236,0.489953561740497,0.871831456756095,3.2e+09
"DATING",7,33,0.177510686754216,0.858520844007144,0.500673557966621,0.877309685829727,45820000
"EDUCATION",8,22,0.305042058273961,0.844114360837788,0.48623985933041,0.902938295488766,142610000
"ENTERTAINMENT",9,25,0.152952675000601,0.851640363528046,0.486063095729439,0.898810023975913,233450000
"EVENTS",10,5,0.384549469533881,0.860015226827061,0.581851599936894,0.907677660613341,1310000
"FAMILY",11,53,0.141692923783404,0.860260882693095,0.512297856543848,0.889054850817716,487010000
"FINANCE",12,39,0.166158720590429,0.843731557253407,0.476243053042121,0.914683575763468,185010000
"FOOD_AND_DRINK",13,18,0.264543600660998,0.845881438848408,0.521436204564814,0.905754726769209,51050000
"GAME",14,93,0.0623214216759612,0.853927315406044,0.499608375503925,0.907331183237394,3586300000
"HEALTH_AND_FITNESS",15,40,0.312451312537342,0.84664416815574,0.521316664233441,0.899769055781981,185200000
"HOUSE_AND_HOME",16,15,0.236452120045285,0.85171196484092,0.473638817462872,0.898107544792261,14260000
"LIBRARIES_AND_DEMO",17,9,0.236954797555244,0.846659257359866,0.525612227451899,0.872809440847949,17750000
"LIFESTYLE",18,23,0.230741623757054,0.855060868875466,0.476968134297179,0.893711370011345,68460000
"MAPS_AND_NAVIGATION",19,7,0.321888828314077,0.857279047739388,0.488261347020632,0.895615586626939,1.1e+07
"MEDICAL",20,33,0.221428827680556,0.842042508690051,0.479528386210569,0.904070585817215,17411000
"NEWS_AND_MAGAZINES",21,24,0.1566026288924,0.843894437493047,0.458257095195996,0.884673642742397,1612200000
"PARENTING",22,8,0.313461638316932,0.856184909567222,0.503289716484044,0.86432669820263,5200000
"PERSONALIZATION",23,34,0.274996605994032,0.85036856073294,0.521702609553808,0.85579533569687,535710000
"PHOTOGRAPHY",24,31,0.236330740484284,0.852821600706443,0.492850687838003,0.873606852603737,1.607e+09
"PRODUCTIVITY",25,37,0.195324965553935,0.843078672463613,0.480159015261663,0.888829889097819,1384600000
"SHOPPING",26,20,0.197925663843094,0.852606896030496,0.47673158648948,0.902706479335824,427500000
"SOCIAL",27,18,0.149641861313651,0.84885285855804,0.479551644641895,0.876404516529562,2656600000
"SPORTS",28,31,0.237550932430178,0.849135627511356,0.500188003752358,0.894000920689907,143960000
"TOOLS",29,47,0.217448711512231,0.853429747290311,0.466270713622983,0.878212064940146,3076200000
"TRAVEL_AND_LOCAL",30,42,0.206449716717893,0.847017882047578,0.478398232407138,0.908899231028373,1423800000
"VIDEO_PLAYERS",31,9,0.145782155678552,0.852706872574906,0.478670737568179,0.861373604456928,8.4e+07
"WEATHER",32,6,0.298206129262285,0.847602839237806,0.486867324410533,0.881121780815341,1.17e+08
