"Genres..categorical.","Genres","App","Installs"
"Action",0,299,3483039190
"Action;Action & Adventure",1,12,53020500
"Adventure",2,73,296695320
"Adventure;Action & Adventure",3,5,106150000
"Adventure;Brain Games",4,1,1e+05
"Adventure;Education",5,1,1e+07
"Arcade",6,184,3755129155
"Arcade;Action & Adventure",7,14,45210001
"Arcade;Pretend Play",8,1,1e+06
"Art & Design",9,57,112528100
"Art & Design;Action & Adventure",10,1,1e+05
"Art & Design;Creativity",11,6,1710000
"Art & Design;Pretend Play",12,1,5e+05
"Auto & Vehicles",13,85,53130211
"Beauty",14,53,27197050
"Board",15,41,112027210
"Board;Action & Adventure",16,3,6005000
"Board;Brain Games",17,15,7882100
"Board;Pretend Play",18,1,100
"Books & Reference",19,222,1665969576
"Books & Reference;Creativity",20,1,100
"Books & Reference;Education",21,2,11000
"Business",22,420,697164865
"Card",23,47,152826100
"Card;Action & Adventure",24,2,1.1e+07
"Casino",25,39,130260700
"Casual",26,165,3052830740
"Casual;Action & Adventure",27,13,155001000
"Casual;Brain Games",28,12,17111000
"Casual;Creativity",29,6,3.2e+07
"Casual;Education",30,3,2010000
"Casual;Music & Video",31,1,1e+07
"Casual;Pretend Play",32,25,146261000
"Comics",33,55,44931150
"Comics;Creativity",34,1,50000
"Communication",35,315,11038276251
"Communication;Creativity",36,1,5e+05
"Dating",37,171,140926107
"Education",38,510,258410148
"Education;Action & Adventure",39,4,3010000
"Education;Brain Games",40,4,16001000
"Education;Creativity",41,6,11650000
"Education;Education",42,36,142812560
"Education;Music & Video",43,3,6100000
"Education;Pretend Play",44,17,9677000
"Educational",45,37,13569306
"Educational;Action & Adventure",46,3,51050000
"Educational;Brain Games",47,6,26600000
"Educational;Creativity",48,5,7005500
"Educational;Education",49,38,60811060
"Educational;Pretend Play",50,13,75165100
"Entertainment",51,561,3014714684
"Entertainment;Action & Adventure",52,3,7e+06
"Entertainment;Brain Games",53,7,23200000
"Entertainment;Creativity",54,3,1.2e+07
"Entertainment;Education",55,1,1e+06
"Entertainment;Music & Video",56,15,96200000
"Entertainment;Pretend Play",57,2,6e+06
"Events",58,64,15973161
"Finance",59,345,455348734
"Food & Drink",60,112,211798751
"Health & Fitness",61,288,1144022512
"Health & Fitness;Action & Adventure",62,1,1e+06
"Health & Fitness;Education",63,1,1e+05
"House & Home",64,74,97212461
"Libraries & Demo",65,84,52995910
"Lifestyle",66,368,493823539
"Lifestyle;Education",67,1,1e+05
"Lifestyle;Pretend Play",68,1,1e+07
"Maps & Navigation",69,131,503281890
"Medical",70,395,38193177
"Music",71,19,170120500
"Music & Audio;Music & Video",72,1,5e+05
"Music;Music & Video",73,3,10101000
"News & Magazines",74,254,2369217760
"Parenting",75,46,20641110
"Parenting;Brain Games",76,1,1e+06
"Parenting;Education",77,7,3170000
"Parenting;Music & Video",78,6,6710000
"Personalization",79,376,1532494782
"Photography",80,281,4649147655
"Productivity",81,374,5793091369
"Puzzle",82,119,832476811
"Puzzle;Action & Adventure",83,3,55100000
"Puzzle;Brain Games",84,17,140310000
"Puzzle;Creativity",85,2,1500000
"Puzzle;Education",86,1,1e+05
"Racing",87,91,1400247320
"Racing;Action & Adventure",88,16,132260000
"Racing;Pretend Play",89,1,1e+06
"Role Playing",90,105,331240670
"Role Playing;Action & Adventure",91,4,21100000
"Role Playing;Brain Games",92,1,1e+07
"Role Playing;Education",93,1,100
"Role Playing;Pretend Play",94,4,21100000
"Shopping",95,202,1400348785
"Simulation",96,193,629597820
"Simulation;Action & Adventure",97,7,3.4e+07
"Simulation;Education",98,3,600500
"Simulation;Pretend Play",99,3,1110000
"Social",100,239,5487867902
"Sports",101,331,1412474498
"Sports;Action & Adventure",102,4,10700000
"Strategy",103,95,914187605
"Strategy;Action & Adventure",104,2,1100000
"Strategy;Creativity",105,1,1e+06
"Strategy;Education",106,1,5e+05
"Tools",107,826,7991771915
"Tools;Education",108,1,1e+07
"Travel & Local",109,218,2894787146
"Travel & Local;Action & Adventure",110,1,1e+05
"Trivia",111,38,128606370
"Trivia;Education",112,1,100
"Video Players & Editors",113,162,3916902720
"Video Players & Editors;Creativity",114,1,5e+06
"Video Players & Editors;Music & Video",115,2,1.5e+07
"Weather",116,79,361100520
"Word",117,23,169172550
