"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_Q"
"/u/app",6,4.7,573,53,10000,0,0,1.5,35,"2018-07-03",1988,17,2018,86,"COMMUNICATION","Free","Communication","4.2.4","4.1 and up","2018-07",0,0,3,1
"[verify-U] VideoIdent",6,2.9,83,13,10000,0,0,0,35,"2018-04-26",1299,25,2018,83,"COMMUNICATION","Free","Communication","2.4.0","5.0 and up","2018-04",0,0,0,1
"10 WPM Amateur ham radio CW Morse code trainer",6,3.5,10,3.8,100,1,1.49,0,35,"2018-05-12",1117,5,2018,84,"COMMUNICATION","Paid","Communication","2.1.4","2.1 and up","2018-05",0,0,0,0
"2 Amateur ham radio CW Morse code practice keys TX",6,4.8,6,3.5,100,1,1.49,0,35,"2018-03-05",234,2,2018,82,"COMMUNICATION","Paid","Communication","1.0.9","1.6 and up","2018-03",0,0,3,0
"20WPM Amateur ham radio Koch CW Morse code trainer",6,4.3,12,3.7,100,1,1.49,0,35,"2018-05-22",1552,5,2018,84,"COMMUNICATION","Paid","Communication","3.0.4","2.1 and up","2018-05",0,0,2,0
"2ndLine - Second Phone Number",6,4.2,15880,32,1e+06,0,0,0,35,"2018-08-03",2310,13,2018,87,"COMMUNICATION","Free","Communication","5.65.0","4.0 and up","2018-08",0,40,2,3
"3G DZ Configuration",6,4.3,488,2.5,50000,0,0,0,35,"2015-11-19",2401,10,2015,54,"COMMUNICATION","Free","Communication","6.2.3","3.0 and up","2015-11",0,0,2,1
"Access Point Names",6,4,138,2.4,10000,0,0,0,35,"2014-08-12",113,9,2014,39,"COMMUNICATION","Free","Communication","1.0","2.3.3 and up","2014-08",0,0,1,1
"Ad Blocker Turbo - Adblocker Browser",6,3.9,107,44,10000,0,0,0,35,"2018-01-29",207,17,2018,80,"COMMUNICATION","Free","Communication","1.0.5","4.1 and up","2018-01",0,0,1,1
"Adblock Browser for Android",6,4.1,121113,39,1e+07,0,0,0,35,"2018-07-11",593,17,2018,86,"COMMUNICATION","Free","Communication","1.4.0","4.1 and up","2018-07",0,0,1,3
"Adblock Plus for Samsung Internet - Browse safe.",6,4,8769,2.1,1e+06,0,0,0,35,"2018-04-05",309,25,2018,83,"COMMUNICATION","Free","Communication","1.1.4","5.0 and up","2018-04",0,0,1,3
"AG Contacts, Lite edition",6,4.5,185,3.7,5000,0,0,0,35,"2018-05-18",2587,15,2018,84,"COMMUNICATION","Free","Communication","8.05.18.14250","4.0.3 and up","2018-05",0,0,3,1
