"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_Q"
"[adult swim]",11,3.6,21433,21,1e+06,0,0,1.5,51,"2018-05-29",1542,25,2018,84,"FAMILY","Free","Entertainment","3.0.1805181047","5.0 and up","2018-05",0,0,0,3
"<U+0627><U+0644><U+0641><U+0627><U+062A><U+062D><U+0648><U+0646> Conquerors",11,4.5,108130,40,5e+06,0,0,1,103,"2018-08-03",759,13,2018,87,"FAMILY","Free","Strategy","1.8.0","4.0 and up","2018-08",0,0,3,3
"<U+0644><U+0639><U+0628><U+0629> <U+062A><U+0642><U+062F><U+0631> <U+062A><U+0631><U+0628><U+062D> DZ",11,4.2,238,6.8,10000,0,0,0,38,"2016-11-18",2351,17,2016,66,"FAMILY","Free","Education","6.0.0.0","4.1 and up","2016-11",0,0,1,1
"<U+09AC><U+09BE><U+0982><U+09B2><U+09BE> <U+099F><U+09BF><U+09AD><U+09BF> <U+09AA><U+09CD><U+09B0><U+09CB> BD Bangla TV",11,4.3,193,14,10000,0,0,0,51,"2017-04-29",532,13,2017,71,"FAMILY","Free","Entertainment","1.3","4.0 and up","2017-04",0,0,2,1
"<U+09AC><U+09BE><U+0982><U+09B2><U+09BE>flix",11,4.2,1111,7.3,1e+05,0,0,0,51,"2018-06-05",1786,17,2018,85,"FAMILY","Free","Entertainment","3.6.1","4.1 and up","2018-06",0,0,1,2
"<U+3010>Miku AR Camera<U+3011>Mikuture",11,4.4,36268,41,1e+06,0,0,1,51,"2017-04-25",1537,18,2017,71,"FAMILY","Free","Entertainment","3.0.15","4.2 and up","2017-04",0,0,2,3
"<U+3042><U+306A><U+30AB><U+30EC><U+3010>BL<U+3011><U+7121><U+6599><U+30B2><U+30FC><U+30E0>",11,4.7,6073,8.5,1e+05,0,0,1.5,96,"2018-02-25",1984,8,2018,81,"FAMILY","Free","Simulation","4.2.2","2.3 and up","2018-02",0,0,3,2
"10 Minutes a Day Times Tables",11,4.1,681,48,1e+05,0,0,0,38,"2014-07-03",424,7,2014,38,"FAMILY","Free","Education","1.2","2.2 and up","2014-07",0,0,1,2
"100+ C Programs",11,4.2,20,1.6,5000,0,0,0,38,"2017-01-03",113,13,2017,68,"FAMILY","Free","Education","1.0","4.0 and up","2017-01",0,0,1,1
"101 C Programming Problems",11,4.6,498,5,50000,0,0,0,38,"2017-10-15",1014,15,2017,77,"FAMILY","Free","Education","2.0","4.0.3 and up","2017-10",0,0,3,2
"2048 BTS J Hope KPop Puzzle Game",11,4.7,17,2.4,1000,0,0,0,82,"2017-09-26",110,9,2017,76,"FAMILY","Free","Puzzle","1","2.3.3 and up","2017-09",0,0,3,0
"2048(AI)",11,4.3,20,3.5,1000,0,0,0,26,"2015-06-03",54,8,2015,49,"FAMILY","Free","Casual","0.33","2.3 and up","2015-06",0,0,2,0
"30WPM Amateur ham radio Koch CW Morse code trainer",11,5,1,3.7,10,1,1.49,0,38,"2018-05-18",1044,5,2018,84,"FAMILY","Paid","Education","2.0.2","2.1 and up","2018-05",0,0,3,0
"3D Color by Number with Voxels",11,4.5,5481,69,5e+05,0,0,0,51,"2018-07-07",532,20,2018,86,"FAMILY","Free","Entertainment","1.3","4.4 and up","2018-07",0,0,3,3
"3D DJ – DJ Mixer 2018",11,4.3,6333,30,1e+06,0,0,0,51,"2018-05-25",294,25,2018,84,"FAMILY","Free","Entertainment","1.1.12","5.0 and up","2018-05",0,0,2,3
"3D DJ – Music Mixer with Virtual DJ",11,4.3,796,28,1e+05,0,0,0,51,"2018-07-03",2451,25,2018,86,"FAMILY","Free","Entertainment","6.6.8","5.0 and up","2018-07",0,0,2,2
"3D Holograms Joke",11,2.9,31596,31,5e+06,0,0,1,96,"2016-12-23",641,8,2016,67,"FAMILY","Free","Simulation","1.5","2.3 and up","2016-12",0,0,0,3
"3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp",11,4.2,449,56,10000,0,0,1,26,"2018-02-16",641,13,2018,81,"FAMILY","Free","Casual","1.5","4.0 and up","2018-02",0,0,1,1
"4 x4 Offroad SUV 3D Truck Simulator Driving 2017",11,4.4,32,37,1000,0,0,0,96,"2017-12-06",113,8,2017,79,"FAMILY","Free","Simulation","1.0","2.3 and up","2017-12",0,0,2,0
"500 AP World History Questions",11,4.7,7,1.2,100,1,9.99,0,38,"2013-11-01",424,2,2013,30,"FAMILY","Paid","Education","1.2","1.6 and up","2013-11",0,0,3,0
"A-Z Punjabi Songs & Music Videos 2018",11,4.3,367,5.1,1e+05,0,0,0,51,"2018-05-17",172,17,2018,84,"FAMILY","Free","Entertainment","1.0.19","4.1 and up","2018-05",0,0,2,2
"A Call From Santa Claus!",11,3.9,3720,11,1e+06,0,0,0,51,"2016-12-04",1986,15,2016,67,"FAMILY","Free","Entertainment","4.2.3","4.0.3 and up","2016-12",46,34,1,3
"A Word A Day",11,3.7,2398,2.9,5e+05,0,0,0,38,"2017-01-05",2322,13,2017,68,"FAMILY","Free","Education","5.8","4.0 and up","2017-01",36,4,0,3
"ab",11,3.8,10,22,1000,0,0,0,26,"2016-10-27",113,13,2016,65,"FAMILY","Free","Casual","1.0","4.0 and up","2016-10",0,0,0,0
"AB Blast Match 3",11,4.3,111,48,10000,0,0,0,82,"2018-06-19",373,17,2018,85,"FAMILY","Free","Puzzle","1.13","4.1 and up","2018-06",0,0,2,1
"AB Crush Match 3",11,4.3,96,54,10000,0,0,0,26,"2017-02-23",277,8,2017,69,"FAMILY","Free","Casual","1.1","2.3 and up","2017-02",0,0,2,1
"AB Match",11,4.2,9,30,1000,0,0,0,26,"2018-05-19",201,17,2018,84,"FAMILY","Free","Casual","1.0.4","4.1 and up","2018-05",0,0,1,0
"ABCmouse.com",11,4.3,50887,91,5e+06,0,0,0,42,"2018-07-03",2516,20,2018,86,"FAMILY","Free","Education;Education","7.2.0","4.4 and up","2018-07",4,36,2,3
"AC Remote Control Simulator",11,3.3,353,2.3,1e+05,0,0,0,51,"2017-12-04",113,15,2017,79,"FAMILY","Free","Entertainment","1.0","4.0.3 and up","2017-12",0,0,0,2
"AC REMOTE UNIVERSAL-PRO",11,1.6,402,1.7,1e+05,0,0,0,51,"2015-12-11",113,7,2015,55,"FAMILY","Free","Entertainment","1.0","2.2 and up","2015-12",0,0,0,2
"Account Class-11 Solutions (D K Goel)",11,4.5,663,25,50000,0,0,0,38,"2018-02-09",1523,10,2018,81,"FAMILY","Free","Education","3.0.0","3.0 and up","2018-02",0,0,3,2
