"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_Q"
"¡Ay Metro!",14,3.8,489,36,10000,0,0,0.5,6,"2015-03-17",191,13,2015,46,"GAME","Free","Arcade","1.0.3.1","4.0 and up","2015-03",0,0,0,0
"<U+0410>im Training for CS",14,3.6,2328,12,1e+05,0,0,0,0,"2014-10-25",756,8,2014,41,"GAME","Free","Action","1.8","2.3 and up","2014-10",0,0,0,1
"1LINE – One Line with One Touch",14,4.6,214878,10,1e+07,0,0,0,15,"2018-08-03",1053,17,2018,87,"GAME","Free","Board","2.0.4","4.1 and up","2018-08",2,38,3,3
"2-Player Co-op Zombie Shoot",14,4.2,33,13,1000,0,0,1,0,"2018-07-01",153,8,2018,86,"GAME","Free","Action","1.0.13","2.3 and up","2018-07",0,0,1,0
"211:CK",14,5,8,38,10,1,0.99,1,6,"2018-04-11",532,17,2018,83,"GAME","Paid","Arcade","1.3","4.1 and up","2018-04",0,0,3,0
"211:CK Lite",14,4.3,3,39,10,0,0,1.5,0,"2017-09-22",113,17,2017,76,"GAME","Free","Action","1.0","4.1 and up","2017-09",0,0,2,0
"4 in a row",14,4.3,47698,4.1,5e+06,0,0,0,15,"2016-04-12",182,1,2016,59,"GAME","Free","Board","1.0.21","1.5 and up","2016-04",0,0,2,3
"4x4 Jeep Racer",14,4.1,7279,54,1e+06,0,0,0,87,"2018-03-09",641,13,2018,82,"GAME","Free","Racing","1.5","4.0 and up","2018-03",0,0,1,2
"5 Nights at Cube Pizzeria City",14,3.8,2691,52,1e+05,0,0,1,2,"2017-02-22",424,18,2017,69,"GAME","Free","Adventure","1.2","4.2 and up","2017-02",0,0,0,1
"7 Nights at Pixel Pizzeria - 2",14,4,23168,54,1e+06,0,0,1,2,"2018-07-09",534,20,2018,86,"GAME","Free","Adventure","1.3.0","4.4 and up","2018-07",0,0,1,2
"Adivina el cantante de Trap y Reggaeton",14,4.5,1914,24,1e+05,0,0,0,111,"2018-06-29",1797,15,2018,85,"GAME","Free","Trivia","3.6.7z","4.0.3 and up","2018-06",0,0,3,1
"Adventure Time Game Wizard",14,4.1,4107,40,50000,1,4.99,0,2,"2015-07-16",426,17,2015,50,"GAME","Paid","Adventure","1.2.0","4.1 and up","2015-07",0,0,1,0
"Adventure Time Run",14,4.3,24628,88,1e+06,0,0,0,0,"2018-07-26",507,20,2018,86,"GAME","Free","Action","1.25.396","4.4 and up","2018-07",0,0,2,2
"AE 3D Moto 3",14,3.9,2588,26,1e+05,0,0,0.5,87,"2014-12-31",723,8,2014,43,"GAME","Free","Racing","1.7.1","2.3 and up","2014-12",0,0,0,1
"AE Angry Chef",14,4.1,533,39,10000,0,0,0.5,0,"2014-01-24",113,5,2014,32,"GAME","Free","Action","1.0","2.1 and up","2014-01",0,0,1,0
"AE Blackjack",14,4,1417,17,1e+05,0,0,1,23,"2015-11-27",536,8,2015,54,"GAME","Free","Card","1.3.1","2.3 and up","2015-11",0,0,1,1
"AE City Jump",14,4.5,804,27,10000,0,0,0,0,"2018-07-18",201,13,2018,86,"GAME","Free","Action","1.0.4","4.0 and up","2018-07",0,0,3,0
"AE Coin Mania : Arcade Fun",14,4.3,30002,29,1e+06,0,0,1,25,"2018-02-08",1282,15,2018,81,"GAME","Free","Casino","2.3.5","4.0.3 and up","2018-02",0,0,2,2
"AE Fishing Hunter",14,4.4,14,6.6,1000,0,0,0,2,"2016-03-15",4,10,2016,58,"GAME","Free","Adventure","0.0.3","3.0 and up","2016-03",0,0,2,0
"AE FreeCell",14,4.2,358,15,10000,0,0,0,23,"2014-11-06",317,8,2014,42,"GAME","Free","Card","1.1.5","2.3 and up","2014-11",0,0,1,0
"AE GTO Racing",14,3.9,6988,35,1e+05,0,0,0.5,87,"2015-09-24",2750,32,2015,52,"GAME","Free","Racing","Varies with device","Varies with device","2015-09",0,0,0,1
"AE Gun Ball: arcade ball games",14,3.7,8581,12,1e+06,0,0,0,6,"2013-12-13",173,7,2013,31,"GAME","Free","Arcade","1.0.2","2.2 and up","2013-12",0,0,0,2
"AE Jewels",14,4.2,960,18,50000,0,0,0,0,"2015-08-20",207,10,2015,51,"GAME","Free","Action","1.0.5","3.0 and up","2015-08",0,0,1,0
"AE Jewels 2: Island Adventures",14,4.2,652,30,10000,0,0,0,0,"2016-02-24",113,8,2016,57,"GAME","Free","Action","1.0","2.3 and up","2016-02",0,0,1,0
"AE Lucky Fishing",14,4.3,18277,17,1e+06,0,0,1,6,"2016-03-14",1044,8,2016,58,"GAME","Free","Arcade","2.0.2","2.3 and up","2016-03",0,0,2,2
"AE Master Moto",14,4,17876,37,1e+06,0,0,0,87,"2015-12-10",784,8,2015,55,"GAME","Free","Racing","1.8.6","2.3 and up","2015-12",0,0,1,2
"AE Solitaire",14,4.3,1776,26,50000,0,0,0,23,"2018-01-04",1281,15,2018,80,"GAME","Free","Card","2.3.4","4.0.3 and up","2018-01",0,0,2,0
