"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_Q"
"24 megapixel hd camera",24,4,802,5.1,1e+05,0,0,0,80,"2017-05-03",277,8,2017,72,"PHOTOGRAPHY","Free","Photography","1.1","2.3 and up","2017-05",0,0,1,3
"4K Ultra Camera",24,4.2,382,2.9,1e+05,0,0,0,80,"2018-07-30",1885,7,2018,86,"PHOTOGRAPHY","Free","Photography","39.272.12","2.2 and up","2018-07",0,0,2,3
"Ai-Ball AV Recorder",24,2.7,90,4,5000,1,2.99,0,80,"2017-10-19",927,9,2017,77,"PHOTOGRAPHY","Paid","Photography","13","2.3.3 and up","2017-10",0,0,0,1
"AI Draw | Art Filter for Selfie",24,3,20,4.3,1000,1,2.99,0,80,"2018-06-18",618,25,2018,85,"PHOTOGRAPHY","Paid","Photography","1.4.7","5.0 and up","2018-06",0,0,0,1
"AJ Cam",24,5,44,2.8,100,0,0,0,80,"2018-01-23",113,17,2018,80,"PHOTOGRAPHY","Free","Photography","1.0","4.1 and up","2018-01",0,0,3,0
"All Types DP & Status Maker",24,4.5,16,14,1000,0,0,1,80,"2018-07-12",1118,15,2018,86,"PHOTOGRAPHY","Free","Photography","2.1.5","4.0.3 and up","2018-07",0,0,3,1
"Arto: f.infrared photo",24,4.1,41,11,500,1,1.49,0,80,"2016-07-19",1578,20,2016,62,"PHOTOGRAPHY","Paid","Photography","3.1","4.4 and up","2016-07",0,0,2,0
"Auto Dslr Photo Effect : Auto Focus Effect",24,3.8,6,3.5,1000,0,0,0,80,"2018-02-20",688,15,2018,81,"PHOTOGRAPHY","Free","Photography","1.6","4.0.3 and up","2018-02",0,0,1,1
"AZ Camera - Manual Pro Cam",24,3.4,2332,1.6,1e+05,0,0,0,80,"2015-08-28",1192,25,2015,51,"PHOTOGRAPHY","Free","Photography","2.2","5.0 and up","2015-08",0,0,1,3
"B Tiff Viewer",24,4.1,283,7.4,1e+05,0,0,0,80,"2018-05-12",330,13,2018,84,"PHOTOGRAPHY","Free","Photography","1.1.7.4","4.0 and up","2018-05",0,0,2,3
"B&W Photo Filter Editor",24,3.9,205,2.4,50000,0,0,0,80,"2017-07-29",207,13,2017,74,"PHOTOGRAPHY","Free","Photography","1.0.5","4.0 and up","2017-07",0,0,1,2
"BC Camera",24,4.2,5,5.5,500,0,0,0,80,"2018-01-10",113,15,2018,80,"PHOTOGRAPHY","Free","Photography","1.0","4.0.3 and up","2018-01",0,0,2,0
"Be Fabulous PHOTO BOOTH",24,4.1,560,1.7,10000,0,0,0,80,"2017-02-01",268,13,2017,69,"PHOTOGRAPHY","Free","Photography","1.07","4.0 and up","2017-02",0,0,2,2
"BK Photography",24,4.3,20,4.8,1000,0,0,0,80,"2017-01-06",16,8,2017,68,"PHOTOGRAPHY","Free","Photography","0.1","2.3 and up","2017-01",0,0,2,1
"BL 1-Click Camera - Free",24,3.5,52,1.8,10000,0,0,0,80,"2016-08-18",1038,8,2016,63,"PHOTOGRAPHY","Free","Photography","2.0.160818","2.3 and up","2016-08",0,0,1,2
"Black & White Camera - Lovely BW",24,4.2,329,4.8,1e+05,0,0,0,80,"2017-11-13",280,20,2017,78,"PHOTOGRAPHY","Free","Photography","1.1.0","4.4 and up","2017-11",0,0,2,3
"BlackCam Pro - B&W Camera",24,4.5,1376,5.5,1e+05,1,1.49,0,80,"2018-03-26",676,13,2018,82,"PHOTOGRAPHY","Paid","Photography","1.51","4.0 and up","2018-03",0,0,3,3
"BlitzWolf Shutter - BW Shutter",24,2.9,333,1.8,50000,0,0,0,80,"2017-11-22",759,13,2017,78,"PHOTOGRAPHY","Free","Photography","1.8.0","4.0 and up","2017-11",0,0,0,2
"Camera V7 24 Megapixel",24,4,2480,2.5,1e+05,0,0,0,80,"2018-08-01",1889,17,2018,87,"PHOTOGRAPHY","Free","Photography","4.0","4.1 and up","2018-08",0,0,1,3
"CB Edits PNG & CB Backgrounds",24,4.2,17,3.4,5000,0,0,0,80,"2018-07-20",118,17,2018,86,"PHOTOGRAPHY","Free","Photography","1.0.0","4.1 and up","2018-07",0,0,2,1
"CB Hair Png - New Hair Png For CB Editing",24,4.6,26,7.2,500,0,0,0,80,"2018-07-29",1013,13,2018,86,"PHOTOGRAPHY","Free","Photography","2","4.0 and up","2018-07",0,0,3,0
"CB VIDEO VISION",24,5,13,2.6,100,0,0,0,80,"2017-09-12",3,17,2017,76,"PHOTOGRAPHY","Free","Photography","0.0.2","4.1 and up","2017-09",0,0,3,0
"CG Prints",24,5,1,2.3,100,0,0,0,80,"2017-01-24",207,19,2017,68,"PHOTOGRAPHY","Free","Photography","1.0.5","4.3 and up","2017-01",0,0,3,0
"Cover Camera for FB",24,3.8,742,1.8,1e+05,0,0,0,80,"2014-03-09",1523,7,2014,34,"PHOTOGRAPHY","Free","Photography","3.0.0","2.2 and up","2014-03",0,0,1,3
"DC-014",24,5,3,16,500,0,0,0,80,"2018-06-14",189,17,2018,85,"PHOTOGRAPHY","Free","Photography","1.0.3","4.1 and up","2018-06",0,0,3,0
"DENVER ACTION CAM 3",24,2.9,66,8.9,10000,0,0,0,80,"2016-11-16",173,7,2016,66,"PHOTOGRAPHY","Free","Photography","1.0.2","2.2 and up","2016-11",0,0,0,2
"DF Night Selfies",24,4.3,194,1.5,10000,0,0,0,80,"2018-02-15",690,13,2018,81,"PHOTOGRAPHY","Free","Photography","1.6.0","4.0 and up","2018-02",0,0,2,2
"DP Creator for WhatsApp",24,3.8,4813,5.1,1e+05,0,0,0,80,"2016-03-19",641,7,2016,58,"PHOTOGRAPHY","Free","Photography","1.5","2.2 and up","2016-03",0,0,1,3
"DP Editor",24,4.3,18,15,5000,0,0,1,80,"2018-08-04",641,17,2018,87,"PHOTOGRAPHY","Free","Photography","1.5","4.1 and up","2018-08",0,0,2,1
"Dp For FB",24,4.5,12,2,1000,0,0,1,80,"2017-10-19",113,17,2017,77,"PHOTOGRAPHY","Free","Photography","1.0","4.1 and up","2017-10",0,0,3,1
"DP Maker",24,4.2,784,18,1e+05,0,0,0,80,"2018-04-29",246,17,2018,83,"PHOTOGRAPHY","Free","Photography","1.00.15","4.1 and up","2018-04",0,0,2,3
"DP Photo Editor",24,4.1,88,7.7,10000,0,0,0,80,"2017-09-29",1335,17,2017,76,"PHOTOGRAPHY","Free","Photography","2.5","4.1 and up","2017-09",0,0,2,2
"DP Status 2017",24,4.2,302,7,50000,0,0,0,80,"2017-06-15",954,17,2017,73,"PHOTOGRAPHY","Free","Photography","15|06|17","4.1 and up","2017-06",0,0,2,2
"DS-L4 Viewer",24,3.5,13,7.9,1000,0,0,0,80,"2018-01-29",430,25,2018,80,"PHOTOGRAPHY","Free","Photography","1.2.0.9","5.0 and up","2018-01",0,0,1,1
"DSLR camera - Auto Focus and Blur Professional",24,3.4,30,3,10000,0,0,0,80,"2018-04-18",2185,15,2018,83,"PHOTOGRAPHY","Free","Photography","5.1.2","4.0.3 and up","2018-04",0,0,1,2
"DSLR Photography Training apps",24,4,675,15,1e+05,0,0,0,80,"2017-07-29",1088,8,2017,74,"PHOTOGRAPHY","Free","Photography","2.1","2.3 and up","2017-07",0,0,1,3
"DU Collage Maker - Photo Collage & Grid & Layout",24,4.7,4595,2.5,1e+05,0,0,0,80,"2017-09-04",593,13,2017,76,"PHOTOGRAPHY","Free","Photography","1.4.0","4.0 and up","2017-09",0,0,3,3
"DV KING",24,3,2,9.3,100,0,0,0,80,"2017-09-19",118,7,2017,76,"PHOTOGRAPHY","Free","Photography","1.0.0","2.2 and up","2017-09",0,0,0,0
"DV KING 4K",24,2.3,3,8.5,100,0,0,0,80,"2018-07-17",145,13,2018,86,"PHOTOGRAPHY","Free","Photography","1.0.10","4.0 and up","2018-07",0,0,0,0
"DV Lottery Photo Tool",24,4,223,1.7,50000,0,0,0,80,"2017-10-28",267,18,2017,77,"PHOTOGRAPHY","Free","Photography","1.06","4.2 and up","2017-10",0,0,1,2
"ez Share Android app",24,3.3,1461,13,1e+05,0,0,0,80,"2017-08-31",1668,8,2017,75,"PHOTOGRAPHY","Free","Photography","3.2.6","2.3 and up","2017-08",0,0,0,3
"F-Stop Gallery Pro",24,4.4,1302,0.058,10000,1,4.99,0,80,"2015-08-05",1649,7,2015,51,"PHOTOGRAPHY","Paid","Photography","3.2","2.2 and up","2015-08",0,0,2,2
"FB Photographie",24,4.7,37,10,1000,0,0,0,80,"2016-05-22",1014,13,2016,60,"PHOTOGRAPHY","Free","Photography","2.0","4.0 and up","2016-05",0,0,3,1
"FH WiFiCam",24,2.6,201,2.5,10000,0,0,0,80,"2017-05-02",1088,17,2017,72,"PHOTOGRAPHY","Free","Photography","2.1","4.1 and up","2017-05",0,0,0,2
"Fifa World Cup 2018: Photo Frame Editor & DP Maker",24,4.6,666,8.7,1e+05,0,0,0,80,"2018-06-20",2372,15,2018,85,"PHOTOGRAPHY","Free","Photography","6.1","4.0.3 and up","2018-06",0,0,3,3
