"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_D"
"2Do - Reminders, To-do List & Notes",25,4.3,4649,30,1e+05,0,0,0,81,"2018-06-19",1427,25,2018,85,"PRODUCTIVITY","Free","Productivity","2.8.12","5.0 and up","2018-06",0,0,2,5
"7 Weeks - Habit & Goal Tracker",25,4.4,6011,4.3,5e+05,0,0,0,81,"2015-12-19",1655,17,2015,55,"PRODUCTIVITY","Free","Productivity","3.2.1","4.1 and up","2015-12",26,14,2,6
"A-Z App Store",25,3.2,2728,4.4,5e+05,0,0,0,81,"2016-10-05",207,17,2016,65,"PRODUCTIVITY","Free","Productivity","1.0.5","4.1 and up","2016-10",0,0,0,6
"ACCDB MDB DB Manager Pro - Editor for MS Access",25,3.1,19,4.5,500,1,8.99,0,81,"2016-11-03",229,13,2016,66,"PRODUCTIVITY","Paid","Productivity","1.0.8","4.0 and up","2016-11",0,0,0,1
"Ad Detect Plugin - Handy Tool",25,3.8,5107,1.4,5e+05,0,0,0,81,"2015-12-28",700,8,2015,55,"PRODUCTIVITY","Free","Productivity","1.6.3","2.3 and up","2015-12",0,0,0,6
"Ad Removal: thereisonlywe",25,3.4,16,0.293,100,1,6.49,0,81,"2014-05-03",113,7,2014,36,"PRODUCTIVITY","Paid","Productivity","1.0","2.2 and up","2014-05",0,0,0,0
"Ad Remove Plugin for App2SD",25,4.1,66,0.017,1000,1,1.29,0,81,"2013-09-25",118,7,2013,28,"PRODUCTIVITY","Paid","Productivity","1.0.0","2.2 and up","2013-09",0,0,1,2
"Adblock Fast",25,4.1,9914,3.2,1e+06,0,0,0,81,"2017-05-17",593,25,2017,72,"PRODUCTIVITY","Free","Productivity","1.4.0","5.0 and up","2017-05",0,0,1,8
"Add-On: Alcatel (h)",25,4.5,107,1.2,50000,0,0,0,81,"2015-05-19",844,13,2015,48,"PRODUCTIVITY","Free","Productivity","10.0.3148","4.0 and up","2015-05",0,0,3,4
"Add-On: bq (a)",25,3.6,26,1.2,5000,0,0,0,81,"2015-05-19",843,13,2015,48,"PRODUCTIVITY","Free","Productivity","10.0.3086","4.0 and up","2015-05",0,0,0,2
"Adobe Fill & Sign: Easy PDF Form Filler",25,4.3,11402,5.3,1e+06,0,0,0,81,"2017-11-07",534,25,2017,78,"PRODUCTIVITY","Free","Productivity","1.3.0","5.0 and up","2017-11",0,0,2,8
"Ag PhD Soils",25,2.3,3,16,1000,0,0,0,81,"2018-07-16",501,20,2018,86,"PRODUCTIVITY","Free","Productivity","1.24.1","4.4 and up","2018-07",0,0,0,2
"AI Sight",25,3.5,43,48,1000,0,0,0,81,"2018-06-18",424,15,2018,85,"PRODUCTIVITY","Free","Productivity","1.2","4.0.3 and up","2018-06",0,0,0,2
"Air Conditioner Maintenance",25,4,11,0.22,5000,0,0,0,81,"2015-11-27",2760,9,2015,54,"PRODUCTIVITY","Free","Productivity","airConditionerMaintenance_13112015","2.3.3 and up","2015-11",0,0,1,2
"AL Voice Recorder",25,3.6,4832,2.4,1e+06,0,0,0,81,"2016-11-22",1125,10,2016,66,"PRODUCTIVITY","Free","Productivity","2.1.7.3","3.0 and up","2016-11",0,0,0,8
