"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_D"
"+Download 4 Instagram Twitter",27,4.5,40467,22,1e+06,0,0,0,100,"2018-08-02",2174,17,2018,87,"SOCIAL","Free","Social","5.03","4.1 and up","2018-08",0,0,2,9
"<U+0001F498> WhatsLov: Smileys of love, stickers and GIF",27,4.6,22098,18,1e+06,0,0,0,100,"2018-07-24",1988,15,2018,86,"SOCIAL","Free","Social","4.2.4","4.0.3 and up","2018-07",0,0,3,9
"Alarm.fo – choose your info",27,4.4,19,3.1,1000,0,0,0,100,"2018-05-29",620,17,2018,84,"SOCIAL","Free","Social","1.4.8","4.1 and up","2018-05",0,0,2,2
"All Social Networks",27,4.2,22492,1.5,1e+06,0,0,0,100,"2018-05-21",1304,13,2018,84,"SOCIAL","Free","Social","2.4.12","4.0 and up","2018-05",6,34,1,9
"Anime et Manga Amino en Français",27,4.8,3782,63,50000,0,0,1,100,"2018-07-13",770,15,2018,86,"SOCIAL","Free","Social","1.8.19106","4.0.3 and up","2018-07",0,0,3,4
"Au Pair",27,3.6,58,15,10000,0,0,0,100,"2017-08-14",534,18,2017,75,"SOCIAL","Free","Social","1.3.0","4.2 and up","2017-08",0,0,0,4
"Auto DM for Twitter <U+0001F525>",27,3.4,44,6.3,1000,0,0,1,100,"2018-05-21",2722,17,2018,84,"SOCIAL","Free","Social","HTTPs","4.1 and up","2018-05",0,0,0,2
"B-Messenger Video Chat",27,4.1,12495,19,1e+06,0,0,1.5,100,"2017-08-19",2498,8,2017,75,"SOCIAL","Free","Social","7.1.1","2.3 and up","2017-08",0,0,1,9
"Banjo",27,4.2,58341,9.3,1e+06,0,0,0,100,"2015-07-25",2074,8,2015,50,"SOCIAL","Free","Social","4.6.2.0","2.3 and up","2015-07",1,39,1,9
"Best DP and Status",27,4.2,93,5.6,10000,0,0,1,100,"2017-11-29",2555,17,2017,78,"SOCIAL","Free","Social","7.6.5","4.1 and up","2017-11",0,0,1,4
"BG LINKED (BGLINKED)",27,4.7,22,11,1000,0,0,0,100,"2018-01-19",2789,17,2018,80,"SOCIAL","Free","Social","v2.0.02_prod","4.1 and up","2018-01",0,0,3,2
"BGKontakti Vienna BG Kontakti",27,4.8,111,5.9,1000,0,0,0,100,"2018-07-18",1322,17,2018,86,"SOCIAL","Free","Social","2.42","4.1 and up","2018-07",0,0,3,2
"BK Traffic Control cum Chart",27,4.7,549,17,10000,0,0,1,100,"2016-06-29",1528,10,2016,61,"SOCIAL","Free","Social","3.0.1","3.0 and up","2016-06",0,0,3,4
"Black Social",27,4.6,22,8.7,1000,0,0,1,100,"2018-08-05",1868,19,2018,87,"SOCIAL","Free","Social","31.1.4","4.3 and up","2018-08",0,0,3,2
"Blogaway for Android (Blogger)",27,3.7,4253,4.1,1e+05,0,0,1,100,"2018-05-31",2493,15,2018,84,"SOCIAL","Free","Social","7.0.7","4.0.3 and up","2018-05",4,36,0,6
"Blogger",27,3.7,138026,2.7,5e+06,0,0,1.5,100,"2016-02-29",1113,5,2016,57,"SOCIAL","Free","Social","2.1.3","2.1 and up","2016-02",2,38,0,9
"BOO! - Next Generation Messenger",27,3.5,20675,96,1e+06,0,0,1,100,"2018-08-02",2023,25,2018,87,"SOCIAL","Free","Social","4.4.0","5.0 and up","2018-08",0,0,0,9
"Br Browser",27,4.9,29,2.5,500,0,0,0,100,"2018-03-20",2152,25,2018,82,"SOCIAL","Free","Social","5.0","5.0 and up","2018-03",0,0,3,1
"BR Chat Bot",27,1.9,16,2.6,1000,0,0,0,100,"2016-06-30",113,13,2016,61,"SOCIAL","Free","Social","1.0","4.0 and up","2016-06",0,0,0,2
"BT Communicator",27,3.8,32,1.6,10000,0,0,1,100,"2016-12-16",113,2,2016,67,"SOCIAL","Free","Social","1.0","1.6 and up","2016-12",0,0,0,4
"BT Dating -Find your match, help cupid, be social",27,4.1,158,26,50000,0,0,1.5,100,"2018-07-19",1260,17,2018,86,"SOCIAL","Free","Social","2.3","4.1 and up","2018-07",0,0,1,4
"CB Heroes",27,5,5,1.8,5,0,0,0,100,"2018-08-04",464,25,2018,87,"SOCIAL","Free","Social","1.2.4","5.0 and up","2018-08",0,0,3,0
"Check Your Visitors on FB ?",27,3.6,40,1.5,5000,0,0,0,100,"2017-02-17",2022,18,2017,69,"SOCIAL","Free","Social","4.4","4.2 and up","2017-02",0,0,0,2
"CJ Gospel Hour",27,5,7,18,100,0,0,0,100,"2018-07-25",113,20,2018,86,"SOCIAL","Free","Social","1.0","4.4 and up","2018-07",0,0,3,0
"Couple - Relationship App",27,4,33249,8.4,1e+06,0,0,0,100,"2015-03-05",759,8,2015,46,"SOCIAL","Free","Social","1.8.0","2.3 and up","2015-03",57,23,0,9
"CP Dialer",27,4.3,64,3.3,50000,0,0,1,100,"2018-03-22",1443,17,2018,82,"SOCIAL","Free","Social","2.9.0","4.1 and up","2018-03",0,0,2,4
"Cyprus Police",27,4.2,226,15,10000,0,0,0.5,100,"2018-01-31",370,7,2018,80,"SOCIAL","Free","Social","1.122.250.1421","2.2 and up","2018-01",0,0,1,4
"Daddyhunt: Gay Dating",27,3.9,6450,14,5e+05,0,0,1.5,100,"2018-01-22",558,13,2018,80,"SOCIAL","Free","Social","1.3.5","4.0 and up","2018-01",0,0,0,7
