"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_Q"
".R",29,4.5,259,0.203,10000,0,0,0,107,"2014-09-16",285,1,2014,40,"TOOLS","Free","Tools","1.1.06","1.5 and up","2014-09",0,0,3,1
"[root] Pry-Fi",29,3.9,6736,0.072,5e+05,0,0,0,107,"2014-02-02",477,18,2014,33,"TOOLS","Free","Tools","1.20","4.2 and up","2014-02",0,0,1,2
"[ROOT] X Privacy Installer",29,4.2,12147,0.118,1e+06,0,0,0,107,"2015-01-25",409,15,2015,44,"TOOLS","Free","Tools","1.18","4.0.3 and up","2015-01",0,0,2,3
"<U+0001F4CF> Smart Ruler <U+2194><U+FE0F> cm/inch measuring for homework!",29,4,19,3.2,10000,0,0,0,107,"2017-10-21",113,18,2017,77,"TOOLS","Free","Tools","1.0","4.2 and up","2017-10",0,0,1,1
"<U+0420><U+0435><U+0435>I Smart Remote MP3 CD Player",29,3.2,27,2.7,5000,0,0,0,107,"2018-01-22",424,13,2018,80,"TOOLS","Free","Tools","1.2","4.0 and up","2018-01",0,0,0,1
"2019 Tricks Es File Explores",29,3,4,2,1000,0,0,0,107,"2016-03-16",113,7,2016,58,"TOOLS","Free","Tools","1.0","2.2 and up","2016-03",0,0,0,0
"360-M Flight",29,3.9,84,24,10000,0,0,0,107,"2017-12-14",1182,15,2017,79,"TOOLS","Free","Tools","2.18","4.0.3 and up","2017-12",0,0,1,1
"3G to 4G Converter - Simulator",29,4.2,268,2.4,10000,0,0,0,107,"2018-02-21",1523,17,2018,81,"TOOLS","Free","Tools","3.0.0","4.1 and up","2018-02",0,0,2,1
"3G/4G Config Dz",29,4.2,2058,2.3,1e+05,0,0,0,107,"2017-05-15",1544,13,2017,72,"TOOLS","Free","Tools","3.0.2","4.0 and up","2017-05",0,0,2,2
"A. O. Smith",29,4.2,32,33,10000,0,0,0,107,"2018-05-21",1548,13,2018,84,"TOOLS","Free","Tools","3.0.22","4.0 and up","2018-05",0,0,2,1
"A/C Air Conditioner Remote",29,3.4,7816,5.1,1e+06,0,0,0,107,"2016-07-30",287,10,2016,62,"TOOLS","Free","Tools","1.1.1","3.0 and up","2016-07",0,0,0,3
"A/C Universal Remote Control",29,3.1,3263,3,1e+06,0,0,0,107,"2017-05-16",402,10,2017,72,"TOOLS","Free","Tools","1.17","3.0 and up","2017-05",0,0,0,3
"AB Screen Recorder",29,4.2,533,5,10000,0,0,0,107,"2017-10-02",1423,25,2017,77,"TOOLS","Free","Tools","2.8","5.0 and up","2017-10",0,0,2,1
"AC & TV, DVD, Set Top Box - Remote control IR",29,3.6,3632,3.2,1e+06,0,0,0,107,"2017-11-13",908,15,2017,78,"TOOLS","Free","Tools","11;11.26","4.0.3 and up","2017-11",0,0,0,3
"ac remote control",29,3.7,9514,7,5e+05,0,0,0,107,"2018-07-11",2758,15,2018,86,"TOOLS","Free","Tools","acremotecontrol-v7","4.0.3 and up","2018-07",0,0,0,2
"Ac remote control",29,3.7,822,5,50000,0,0,0,107,"2017-02-27",277,8,2017,69,"TOOLS","Free","Tools","1.1","2.3 and up","2017-02",0,0,0,2
"AC Remote Control",29,3.3,472,2,1e+05,0,0,0,107,"2017-10-17",532,17,2017,77,"TOOLS","Free","Tools","1.3","4.1 and up","2017-10",0,0,0,2
"AC remote control mobile",29,3.9,3043,7.7,1e+05,0,0,0,107,"2017-06-02",533,15,2017,73,"TOOLS","Free","Tools","1.3 acremotecontrol","4.0.3 and up","2017-06",0,0,1,2
"AC Remote for Carrier - NOW FREE",29,3.7,163,26,10000,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,0,1
"AC Remote for Daikin - NOW FREE",29,3.5,383,26,50000,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,0,2
"AC Remote for Haier - NOW FREE",29,3.9,336,27,50000,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,1,2
"AC Remote For LG",29,3,1298,3.4,1e+05,0,0,0,107,"2018-02-20",113,13,2018,81,"TOOLS","Free","Tools","1.0","4.0 and up","2018-02",0,0,0,2
"AC Remote for LG - NOW FREE",29,3.7,1041,28,1e+05,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,0,2
"AC Remote for Midea - NOW FREE",29,4,448,26,1e+05,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,1,2
"AC Remote for O General - NOW FREE",29,3.7,274,26,50000,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,0,2
"AC Remote for Samsung - NOW FREE",29,3.7,566,27,1e+05,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,0,2
"AC Remote for Sharp - NOW FREE",29,3.7,332,26,50000,0,0,0,107,"2018-07-30",2380,18,2018,86,"TOOLS","Free","Tools","6.1.7","4.2 and up","2018-07",0,0,0,2
"AC Troubleshooter",29,4.7,147,4.2,10000,0,0,0,107,"2015-01-08",532,10,2015,44,"TOOLS","Free","Tools","1.3","3.0 and up","2015-01",0,0,3,1
"AC WIFI",29,3.6,41,23,10000,0,0,0,107,"2018-06-03",189,8,2018,85,"TOOLS","Free","Tools","1.0.3","2.3 and up","2018-06",0,0,0,1
"Access Point Browser",29,4.2,25,2.5,1000,0,0,0,107,"2017-09-22",1621,19,2017,76,"TOOLS","Free","Tools","3.11","4.3 and up","2017-09",0,0,2,0
"Ace Screen Recorder w facecam",29,4.2,2447,2.5,1e+05,0,0,0,107,"2017-12-26",420,25,2017,79,"TOOLS","Free","Tools","1.19","5.0 and up","2017-12",0,0,2,2
"Ad Block REMOVER - NEED ROOT",29,3.3,999,0.091,1e+05,0,0,0,107,"2013-12-17",1649,7,2013,31,"TOOLS","Free","Tools","3.2","2.2 and up","2013-12",0,0,0,2
"Ad Detector",29,3.8,208,0.73,50000,0,0,0,107,"2014-07-28",113,8,2014,38,"TOOLS","Free","Tools","1.0","2.3 and up","2014-07",0,0,1,2
"AdClear Ad blocker for Samsung",29,4.2,1586,1.5,5e+05,0,0,0,107,"2017-09-07",207,25,2017,76,"TOOLS","Free","Tools","1.0.5","5.0 and up","2017-09",0,0,2,2
"Adguard Content Blocker",29,4.1,14491,4.3,1e+06,0,0,0,107,"2018-02-26",1107,32,2018,81,"TOOLS","Free","Tools","2.1.2","Varies with device","2018-02",0,0,1,3
"ADS-B Driver",29,5,2,6.3,100,1,1.99,0,107,"2018-05-15",420,20,2018,84,"TOOLS","Paid","Tools","1.19","4.4 and up","2018-05",0,0,3,0
"Advanced Download Manager Holo",29,4.4,16192,1.6,1e+06,0,0,0,107,"2016-07-13",1947,13,2016,62,"TOOLS","Free","Tools","4.1.9o","4.0 and up","2016-07",0,0,3,3
"Advanced Download Manager Pro",29,4.7,6505,2,50000,1,2.99,0,107,"2017-11-03",2424,13,2017,78,"TOOLS","Paid","Tools","6.4.0","4.0 and up","2017-11",0,0,3,2
"Advanced EX for FIAT",29,3.5,138,0.141,5000,1,4.99,0,107,"2015-03-05",688,2,2015,46,"TOOLS","Paid","Tools","1.6","1.6 and up","2015-03",0,0,0,1
"Advanced EX for HYUNDAI",29,2.7,168,0.17,5000,1,4.99,0,107,"2015-03-14",338,2,2015,46,"TOOLS","Paid","Tools","1.10","1.6 and up","2015-03",0,0,0,1
"Advanced EX for KIA",29,3.3,257,0.16,5000,1,4.99,0,107,"2015-03-14",592,2,2015,46,"TOOLS","Paid","Tools","1.4","1.6 and up","2015-03",0,0,0,1
"Advanced EX for MITSUBISHI",29,2.9,33,0.141,1000,1,4.99,0,107,"2015-08-21",277,2,2015,51,"TOOLS","Paid","Tools","1.1","1.6 and up","2015-08",0,0,0,0
"Advanced EX for NISSAN",29,2.9,164,0.144,5000,1,4.99,0,107,"2015-03-14",532,2,2015,46,"TOOLS","Paid","Tools","1.3","1.6 and up","2015-03",0,0,0,1
"Advanced EX for RENAULT",29,2.8,130,0.143,5000,1,4.99,0,107,"2015-03-14",277,2,2015,46,"TOOLS","Paid","Tools","1.1","1.6 and up","2015-03",0,0,0,1
"AE Order",29,4.1,19,0.317,1000,0,0,0,107,"2013-11-12",1032,8,2013,30,"TOOLS","Free","Tools","2.0.131112","2.3 and up","2013-11",0,0,1,0
"AG Screen Recorder",29,3.7,7,2.7,1000,0,0,0,107,"2018-04-03",1522,25,2018,83,"TOOLS","Free","Tools","3.0","5.0 and up","2018-04",0,0,0,0
"AG Track",29,4.1,12,8.7,100,0,0,0,107,"2018-03-23",1692,13,2018,82,"TOOLS","Free","Tools","3.3","4.0 and up","2018-03",0,0,1,0
"Age Calculator",29,4.4,24265,3.3,1e+06,0,0,0,107,"2017-07-25",1912,15,2017,74,"TOOLS","Free","Tools","4.0.6","4.0.3 and up","2017-07",8,32,3,3
"AH Alarm Panel",29,3.9,7,0.081,100,1,4.99,0,107,"2011-05-12",426,1,2011,4,"TOOLS","Paid","Tools","1.2.0","1.5 and up","2011-05",0,0,1,0
"AI Benchmark",29,4,97,99,5000,0,0,0,107,"2018-06-29",1015,17,2018,85,"TOOLS","Free","Tools","2.0.0","4.1 and up","2018-06",0,0,1,1
"ai.type keyboard Plus + Emoji",29,4.5,57076,35,1e+05,1,4.49,0,107,"2018-07-24",2731,17,2018,86,"TOOLS","Paid","Tools","Paid-9.4.1.3","4.1 and up","2018-07",0,0,3,2
"Air conditioner remote control",29,3.4,29854,5,1e+06,0,0,0,107,"2017-07-19",2152,8,2017,74,"TOOLS","Free","Tools","5.0","2.3 and up","2017-07",0,0,0,3
"AK Booster",29,3.8,71,7,10000,0,0,0,107,"2018-05-02",1025,20,2018,84,"TOOLS","Free","Tools","2.0.1.966","4.4 and up","2018-05",0,0,1,1
