"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","Last.Updated..Year.","Last.Updated..Year.Month.","Category..categorical.","Type..categorical.","Genres..categorical.","Current.Ver..categorical.","Android.Ver..categorical.","Last.Updated..Year.Month...categorical.","No_reviews_count","Reviews_present_count","Rating_Q","Installs_Q"
"4K VIDEO PLAYER ULTRA HD",31,3.7,20,24,5000,0,0,0,113,"2017-05-01",2483,9,2017,72,"VIDEO_PLAYERS","Free","Video Players & Editors","7.0","2.3.3 and up","2017-05",0,0,0,0
"A-B repeater",31,4.4,32,0.239,5000,0,0,0,113,"2018-05-18",756,10,2018,84,"VIDEO_PLAYERS","Free","Video Players & Editors","1.8","3.0 and up","2018-05",0,0,3,0
"AB Repeat Player",31,4.3,1628,18,1e+05,0,0,0,113,"2018-03-06",1928,20,2018,82,"VIDEO_PLAYERS","Free","Video Players & Editors","4.1.1","4.4 and up","2018-03",0,0,2,2
"ActionDirector Video Editor - Edit Videos Fast",31,4.5,74531,32,5e+06,0,0,0,113,"2018-06-15",1149,19,2018,85,"VIDEO_PLAYERS","Free","Video Players & Editors","2.12.0","4.3 and up","2018-06",0,0,3,3
"ACTIVEON CX & CX GOLD",31,3.3,439,35,50000,0,0,0,113,"2016-03-04",80,13,2016,58,"VIDEO_PLAYERS","Free","Video Players & Editors","0.7.9","4.0 and up","2016-03",0,0,0,1
"Adobe Premiere Clip",31,3.9,39495,59,5e+06,0,0,0,113,"2018-06-26",310,20,2018,85,"VIDEO_PLAYERS","Free","Video Players & Editors","1.1.4.1296","4.4 and up","2018-06",0,0,1,3
"AfreecaTV",31,3.3,381023,53,1e+07,0,0,0,113,"2018-07-26",1414,13,2018,86,"VIDEO_PLAYERS","Free","Video Players & Editors","2.7.8","4.0 and up","2018-07",0,0,0,3
"AJ Player",31,4.8,18,1.7,100,0,0,0,113,"2018-04-22",701,25,2018,83,"VIDEO_PLAYERS","Free","Video Players & Editors","1.6.3.1","5.0 and up","2018-04",0,0,3,0
"AK Lodi Films",31,4.9,23,2.1,100,0,0,0,113,"2015-08-11",277,13,2015,51,"VIDEO_PLAYERS","Free","Video Players & Editors","1.1","4.0 and up","2015-08",0,0,3,0
"All Video Downloader",31,3.8,165723,1.6,1e+07,0,0,0,113,"2018-08-04",2550,13,2018,87,"VIDEO_PLAYERS","Free","Video Players & Editors","7.5.9","4.0 and up","2018-08",0,0,1,3
"All Video Downloader 2018",31,4.3,7557,5.6,1e+06,0,0,0,113,"2018-07-25",139,20,2018,86,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0.1","4.4 and up","2018-07",6,34,2,3
"amazer - Global Kpop Video Community",31,4.3,1215,23,1e+05,0,0,0.5,113,"2018-07-20",666,17,2018,86,"VIDEO_PLAYERS","Free","Video Players & Editors","1.5.4","4.1 and up","2018-07",0,0,2,2
"AndStream - Streaming Download",31,4.3,38607,2.9,1e+06,0,0,0,113,"2017-03-19",1611,8,2017,70,"VIDEO_PLAYERS","Free","Video Players & Editors","3.1.8","2.3 and up","2017-03",0,0,2,3
"AV-IPTV",31,4.4,43,44,1000,0,0,0,113,"2018-04-27",113,17,2018,83,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0","4.1 and up","2018-04",0,0,3,0
"AW Screen Recorder No Root",31,4.3,1659,3.7,1e+05,0,0,0,113,"2017-07-06",277,25,2017,74,"VIDEO_PLAYERS","Free","Video Players & Editors","1.1","5.0 and up","2017-07",0,0,2,2
"AX Player -Nougat Video Player",31,4.1,15765,10,1e+06,0,0,0,113,"2014-09-12",1014,7,2014,40,"VIDEO_PLAYERS","Free","Video Players & Editors","2.0","2.2 and up","2014-09",0,0,1,3
"AX Video Player",31,4.4,569,2.6,50000,0,0,0,113,"2015-11-11",234,10,2015,54,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0.9","3.0 and up","2015-11",0,0,3,1
"Ay",31,3.8,11,3.6,5000,0,0,1,113,"2018-05-04",186,8,2018,84,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0.261","2.3 and up","2018-05",0,0,1,0
"BC iptv player",31,4.4,8,14,1000,0,0,0,113,"2017-10-12",2717,13,2017,77,"VIDEO_PLAYERS","Free","Video Players & Editors","Final","4.0 and up","2017-10",0,0,3,0
"BG video - floating video - background video",31,4.1,64,2,5000,0,0,0,113,"2018-05-21",1014,13,2018,84,"VIDEO_PLAYERS","Free","Video Players & Editors","2.0","4.0 and up","2018-05",0,0,1,0
"BGCN TV",31,3.4,4334,4.9,1e+05,0,0,0,113,"2015-11-04",1614,32,2015,54,"VIDEO_PLAYERS","Free","Video Players & Editors","3.1.891","Varies with device","2015-11",0,0,0,2
"BK News Channel",31,4.6,277,6.8,10000,0,0,0,113,"2016-07-16",250,8,2016,62,"VIDEO_PLAYERS","Free","Video Players & Editors","1.01","2.3 and up","2016-07",0,0,3,1
"BR Series",31,3.9,1016,13,50000,0,0,1,113,"2018-05-28",2349,17,2018,84,"VIDEO_PLAYERS","Free","Video Players & Editors","6.0","4.1 and up","2018-05",0,0,1,1
"BR Video Player",31,4,46,3.1,5000,0,0,0,113,"2015-04-20",213,10,2015,47,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0.6","3.0 and up","2015-04",0,0,1,0
"BS player remote",31,3.5,54,0.186,10000,0,0,0,113,"2013-04-22",113,7,2013,23,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0","2.2 and up","2013-04",0,0,0,1
"BSPlayer ARMv7 VFP CPU support",31,4.3,9966,5.5,1e+06,0,0,0,113,"2017-03-31",493,5,2017,70,"VIDEO_PLAYERS","Free","Video Players & Editors","1.23","2.1 and up","2017-03",0,0,2,3
"Casper Ssinema",31,3.3,1261,2.5,10000,0,0,0,113,"2014-10-30",113,8,2014,41,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0","2.3 and up","2014-10",0,0,0,1
"CJ Camcorder",31,4.7,3,2.8,500,0,0,0,113,"2017-11-26",113,13,2017,78,"VIDEO_PLAYERS","Free","Video Players & Editors","1.0","4.0 and up","2017-11",0,0,3,0
